Year;Total Observers;Total Sessions;Total Nights;Total Teff;Total Meteors;Avg. Meteors per Session
2021;35;385;146;2072,03;5748;14,93
2020;205;1734;276;12985,98;60226;34,73
2019;216;1464;281;10926,58;51158;34,94
2018;302;2002;276;14240,86;88565;44,24
2017;254;1258;248;9097,43;43090;34,25
2016;386;1444;215;11626,2;70486;48,81
2015;456;1516;202;13036,05;86224;56,88
2014;349;1306;234;9292,52;44715;34,24
2013;424;1570;211;12518,64;76006;48,41
2012;486;1814;237;13998,69;88906;49,01
2011;410;1780;282;14979,43;66345;37,27
2010;466;1924;241;16865,4;104089;54,1
2009;423;1799;228;15462,93;89869;49,95
2008;309;1593;230;16179,53;87022;54,63
2007;414;1770;247;16269,85;98979;55,92
2006;332;1499;259;12996,05;66942;44,66
2005;414;1633;260;13602,7;78670;48,18
2004;542;1655;217;13771,82;129049;77,98
2003;358;1536;255;12888,39;45133;29,38
2002;641;2114;271;15571,29;169154;80,02
2001;761;3094;303;26498,53;334848;108,22
2000;813;4618;343;34770,53;169425;36,69
1999;1053;5068;356;38988,92;487285;96,15
1998;936;4953;341;34804,99;223787;45,18
1997;662;4131;349;33265,75;192808;46,67
1996;649;3426;304;25232,83;151567;44,24
1995;519;2840;307;24390,49;102900;36,23
1994;466;2416;315;17338,36;107066;44,32
1993;582;3067;313;23872,9;178751;58,28
1992;329;2087;315;17352,72;77053;36,92
1991;393;2295;289;26044,04;139318;60,71
1990;345;1975;276;21026,55;79082;40,04
1989;411;2460;293;23478,36;89643;36,44
1988;348;2271;261;29488,93;115530;50,87
1987;191;765;192;7052;22670;29,63
1986;195;934;175;10203,52;43276;46,33
1985;201;914;169;9467,98;39124;42,81
1984;70;296;110;2397,42;6757;22,83
1983;7;30;33;191,71;865;28,83
1982;10;28;25;101,97;378;13,5
1981;1;3;5;26,36;44;14,67
1980;1;8;10;32,95;103;12,88
1974;2;4;2;25;223;55,75
1972;1;1;1;6;104;104
Totals;16368;79480;9903;664441,18;4112983;51,75
